customer_age,job_type,marital,education,default,balance,housing_loan,personal_loan,month,last_contact_duration,num_contacts_in_campaign,num_contacts_prev_campaign,prev_campaign_outcome,term_deposit_subscribed,mid_month
28.0,management,single,tertiary,no,285.0,yes,no,jun,303.0,4.0,0,unknown,0,1
34.0,blue-collar,married,secondary,no,934.0,no,yes,nov,143.0,2.0,1,other,0,1
46.0,technician,married,secondary,no,656.0,no,no,feb,101.0,4.0,0,unknown,0,0
34.0,services,single,secondary,no,2.0,yes,no,may,127.0,3.0,0,unknown,0,1
41.0,blue-collar,married,primary,no,1352.0,yes,no,may,49.0,2.0,0,unknown,0,0
65.0,retired,married,primary,no,2880.0,no,no,apr,163.0,1.0,0,unknown,1,1
57.0,blue-collar,married,primary,no,495.0,no,no,aug,687.0,4.0,0,unknown,1,1
37.0,management,married,tertiary,no,650.0,yes,no,may,210.0,1.0,0,unknown,0,1
29.0,technician,married,secondary,no,265.0,yes,no,aug,160.0,2.0,0,unknown,0,1
50.0,blue-collar,married,secondary,no,407.0,yes,yes,aug,233.0,2.0,0,unknown,0,0
52.0,blue-collar,married,tertiary,no,1779.0,no,no,nov,1195.0,3.0,1,failure,0,1
35.0,technician,single,secondary,no,5212.0,yes,no,may,303.0,2.0,0,unknown,0,0
18.0,blue-collar,single,secondary,no,420.0,yes,no,apr,478.0,1.0,0,unknown,1,1
55.0,blue-collar,married,primary,no,762.0,no,no,jun,66.0,1.0,0,unknown,0,1
42.0,management,married,tertiary,no,55.0,yes,no,nov,57.0,1.0,3,failure,0,1
37.0,blue-collar,single,primary,no,3.0,no,no,jun,21.0,1.0,0,unknown,0,0
41.0,technician,married,secondary,no,-3.0,yes,no,apr,138.0,1.0,1,failure,0,1
41.0,services,married,secondary,no,-145.0,no,yes,jun,201.0,1.0,0,unknown,0,0
53.0,retired,divorced,secondary,yes,-204.0,no,yes,jun,176.0,1.0,0,unknown,0,0
58.0,blue-collar,married,secondary,no,1.0,no,yes,jul,138.0,2.0,0,unknown,0,1
70.0,retired,divorced,primary,no,479.0,no,no,jul,241.0,2.0,0,unknown,1,0
34.0,blue-collar,married,primary,no,3.0,yes,no,may,49.0,2.0,0,unknown,0,1
31.0,management,single,tertiary,no,3.0,yes,no,may,80.0,3.0,0,unknown,0,0
41.0,entrepreneur,married,primary,no,150.0,no,no,aug,75.0,2.0,0,unknown,0,1
34.0,services,single,secondary,no,1038.0,no,yes,jul,89.0,1.0,0,unknown,0,0
28.0,services,single,primary,no,340.0,no,no,jul,180.0,3.0,0,unknown,1,0
33.0,admin.,single,secondary,no,54.0,no,no,jan,399.0,1.0,0,unknown,0,1
25.0,student,single,tertiary,no,192.0,no,no,apr,57.0,2.0,0,unknown,0,0
37.0,management,married,secondary,no,0.0,no,no,aug,126.0,2.0,0,unknown,0,0
31.0,admin.,married,secondary,no,93.0,yes,no,may,145.0,2.0,1,success,0,1
20.0,housemaid,single,secondary,no,649.0,yes,no,may,131.0,1.0,4,failure,0,0
54.0,management,married,tertiary,no,1459.0,no,no,oct,195.0,2.0,1,success,1,0
36.0,admin.,married,secondary,no,-327.0,yes,no,jul,117.0,8.0,0,unknown,0,1
64.0,retired,married,primary,no,50.0,no,no,sep,162.0,3.0,1,success,1,0
32.0,self-employed,divorced,secondary,no,96.0,yes,no,jun,83.0,10.0,0,unknown,0,1
32.0,management,married,tertiary,no,85.0,no,no,may,82.0,6.0,0,unknown,0,0
34.0,blue-collar,married,secondary,no,365.0,yes,yes,apr,44.0,2.0,0,unknown,0,1
48.0,entrepreneur,married,tertiary,no,358.0,yes,no,may,94.0,5.0,0,unknown,0,1
45.0,technician,married,secondary,no,1672.0,no,no,oct,79.0,1.0,0,unknown,0,1
29.0,blue-collar,married,primary,no,-334.0,no,no,jul,136.0,6.0,0,unknown,0,0
42.0,admin.,single,secondary,no,-495.0,yes,yes,may,131.0,1.0,0,unknown,0,1
32.0,management,married,secondary,no,4136.0,yes,no,may,94.0,4.0,0,unknown,0,0
49.0,blue-collar,married,secondary,no,74.0,yes,no,may,182.0,1.0,1,failure,0,0
30.0,admin.,single,secondary,no,390.0,yes,no,may,67.0,1.0,0,unknown,0,0
61.0,technician,divorced,secondary,no,2738.0,no,no,feb,210.0,2.0,0,unknown,0,0
40.0,blue-collar,single,primary,no,3380.0,yes,no,nov,46.0,1.0,0,unknown,0,1
32.0,technician,divorced,secondary,no,-5.0,no,no,jan,131.0,2.0,4,other,0,1
30.0,management,single,tertiary,no,39.0,yes,no,may,900.0,3.0,2,other,1,0
27.0,entrepreneur,single,tertiary,no,218.0,yes,no,may,67.0,2.0,1,failure,0,1
41.0,management,married,secondary,no,425.0,yes,no,may,76.0,1.0,0,unknown,0,0
